IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.210.34.188,8443,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,0.318359375
47.76.37.57,2083,TRUE,HKG,Asia Pacific,Hong Kong,129 ms,0.30859375
47.57.245.232,443,TRUE,SJC,North America,San Jose,67 ms,0.302734375
47.238.52.240,80,TRUE,SIN,Asia Pacific,Singapore,59 ms,0.299804688
47.76.146.1,8443,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,0.290039063
47.57.13.107,443,TRUE,HKG,Asia Pacific,Hong Kong,74 ms,0.287109375
47.76.37.57,2096,TRUE,HKG,Asia Pacific,Hong Kong,81 ms,0.255859375
47.242.202.230,8443,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,0.237304688
8.210.34.188,2083,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,0.200195313
8.210.34.188,2096,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,0.177734375
8.218.204.128,2096,TRUE,HKG,Asia Pacific,Hong Kong,68 ms,0.174804688
47.242.202.230,2096,TRUE,HKG,Asia Pacific,Hong Kong,56 ms,0.171875
47.57.14.118,443,TRUE,SJC,North America,San Jose,68 ms,0.16796875
47.76.49.246,2087,TRUE,HKG,Asia Pacific,Hong Kong,73 ms,0.165039063
8.222.204.128,443,TRUE,SIN,Asia Pacific,Singapore,215 ms,0.153320313
8.210.34.188,2087,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,0.149414063
8.210.156.6,2087,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,0.146484375
47.76.32.108,2087,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,0.146484375
47.76.37.57,2087,TRUE,HKG,Asia Pacific,Hong Kong,98 ms,0.122070313
8.218.204.128,8443,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,0.109375
47.238.35.50,8443,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,0.052734375
8.210.92.27,443,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,0.013671875
47.250.50.53,80,TRUE,SIN,Asia Pacific,Singapore,157 ms,0.010742188
47.76.49.246,2083,TRUE,HKG,Asia Pacific,Hong Kong,89 ms,0.00390625
47.76.49.246,2096,TRUE,HKG,Asia Pacific,Hong Kong,75 ms,0
47.76.94.15,2087,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,0
47.76.33.40,8443,TRUE,HKG,Asia Pacific,Hong Kong,134 ms,0
47.236.170.54,2096,TRUE,SIN,Asia Pacific,Singapore,222 ms,0
47.76.49.246,2053,TRUE,HKG,Asia Pacific,Hong Kong,75 ms,0
47.76.214.139,8443,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,0
47.236.5.223,2096,TRUE,SIN,Asia Pacific,Singapore,233 ms,0
47.250.155.143,80,TRUE,SIN,Asia Pacific,Singapore,167 ms,0
8.219.111.175,2083,TRUE,SIN,Asia Pacific,Singapore,228 ms,0
47.236.232.148,8443,TRUE,SIN,Asia Pacific,Singapore,229 ms,0
47.250.149.42,80,TRUE,SIN,Asia Pacific,Singapore,160 ms,0
47.243.206.150,8443,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,0
47.242.59.216,8443,TRUE,HKG,Asia Pacific,Hong Kong,71 ms,0
47.236.5.223,2087,TRUE,SIN,Asia Pacific,Singapore,234 ms,0
47.76.32.108,2083,TRUE,HKG,Asia Pacific,Hong Kong,76 ms,0
47.76.32.108,2096,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,0
